Taxon,ProcCoord1,ProcCoord2,ProcCoord3,ProcCoord4,ProcCoord5,ProcCoord6,ProcCoord7,ProcCoord8,ProcCoord9,ProcCoord10,ProcCoord11,ProcCoord12,ProcCoord13,ProcCoord14,ProcCoord15,ProcCoord16,ProcCoord17,ProcCoord18,ProcCoord19,ProcCoord20,ProcCoord21,ProcCoord22,ProcCoord23,ProcCoord24
Himatione_sanguinea,-0.471805217,4.85E-04,0.434789146,0.048016041,0.346977926,-0.018438873,0.217660059,-0.119716128,-0.045834673,0.013428432,0.276161146,0.004190816,-0.345269947,0.044790099,-0.112570987,0.081858644,0.167883944,0.082635144,-0.349250737,-0.023546059,-0.165567342,-0.029797441,0.04682668,-0.083905431
Hirundo_rustica,-0.44068065,0.005330952,0.423962684,0.056158479,0.385127363,-0.048146567,0.259097487,-0.134289332,-0.076311169,0.019224272,0.281785882,9.07E-04,-0.350786801,0.050845187,-0.162128784,0.083663699,0.124737429,0.081262224,-0.333442399,-0.006502901,-0.168938142,-0.030340514,0.057577099,-0.078112151
Hylophilus_pectoralis,-0.467173765,0.011161833,0.437635138,0.056156018,0.33458141,-0.006211341,0.200593015,-0.133579239,-0.045087938,0.003152559,0.283532431,0.01069168,-0.34379985,0.047537008,-0.108879086,0.075275084,0.184058755,0.099893867,-0.347511732,-0.02072713,-0.168610414,-0.052018544,0.040662035,-0.091331794
Hypnelus_ruficollis,-0.537179947,0.029204316,0.362386257,0.083276251,0.288843173,-0.016463416,0.217612873,-0.135342664,0.026234639,-0.015713852,0.264377569,0.028402752,-0.365758858,0.062028996,-0.056879458,0.079991056,0.197226341,0.086633285,-0.37045086,-0.013509644,-0.121996825,-0.073555131,0.095585096,-0.114951951
Hypositta_corallirostris,-0.44145855,0.031500319,0.414171886,0.085083396,0.349356458,-0.03502278,0.262243618,-0.160568316,-0.066902497,3.70E-04,0.279868893,0.027122007,-0.358600637,0.064377121,-0.154541844,0.085020774,0.14368453,0.073337679,-0.33631611,-0.005602878,-0.160549731,-0.050650553,0.069043984,-0.114967013
Ictinia_plumbea,-0.483057175,-0.079549012,0.420208052,0.117470214,0.307244733,-0.00246643,0.089058775,-0.281273383,-0.003838038,0.053468419,0.277378487,0.088617091,-0.272057336,0.093717522,-0.005649459,0.16877793,0.222508875,0.152238363,-0.334514731,-0.027625947,-0.173631082,-0.071034412,-0.0436511,-0.212340354
Indicator_minor,-0.428604168,0.011510411,0.442464464,0.097325253,0.362024304,-0.072697886,0.258091902,-0.205759564,-0.072421251,0.041914662,0.242169907,0.028554325,-0.33540823,0.077965044,-0.15309843,0.126262556,0.098483874,0.129144044,-0.315089724,-0.013493449,-0.153950119,-0.06754405,0.055337471,-0.153181347
Irena_puella,-0.490896721,0.011430547,0.375776265,0.077423625,0.337115503,-0.019376273,0.240323551,-0.155693196,-0.016430066,0.006678067,0.266075066,-0.003165962,-0.362866672,0.071449321,-0.110116755,0.108920891,0.150336276,0.090771058,-0.34786423,-0.011467772,-0.13003575,-0.055183816,0.088583533,-0.121786488
Jacamerops_aureus,-0.573515226,-0.012008914,0.342762524,0.028146058,0.304217434,-0.03756896,0.256138837,-0.111286415,0.046324282,0.026028806,0.240126642,0.008870883,-0.384456541,0.044398848,-0.055946755,0.082340181,0.160850906,0.068376191,-0.37706792,-0.004331527,-0.092009458,-0.021806447,0.132575275,-0.071158704
Jynx_torquilla,-0.442485985,0.003307337,0.424994933,0.051153968,0.373213449,-0.001750443,0.185655964,-0.142965089,-0.071976039,0.007376704,0.327934546,0.021706206,-0.341011353,0.034724401,-0.140586178,0.066576452,0.18606647,0.086155756,-0.332588931,-0.007508097,-0.183656247,-0.036420118,0.014439371,-0.082357077
Ketupa_ketupu,-0.41556335,-0.101324679,0.462389493,0.017346887,0.368039659,-0.049365633,0.158659565,-0.23861134,-0.047591201,0.104814037,0.254871443,0.0653696,-0.31162314,0.082793071,-0.097206926,0.176431001,0.135362346,0.165202342,-0.324548806,-0.029646071,-0.177519303,-0.04189243,-0.005269781,-0.151116785
Laniarius_barbarus,-0.471646175,-3.49E-04,0.414927721,0.05062868,0.374495757,-0.016063961,0.241735036,-0.129102576,-0.04635871,0.007992032,0.268359733,-0.013403714,-0.358672071,0.054397081,-0.136426714,0.089457637,0.129980099,0.069591117,-0.34233325,-0.004670046,-0.147249417,-0.028558406,0.073187991,-0.079919325
Lanius_collurio,-0.45978642,0.019907813,0.391511303,0.092728603,0.357986349,-0.015216797,0.236902753,-0.172192302,-0.040293274,-0.001650931,0.266938013,-0.025747928,-0.355535731,0.08051883,-0.134413063,0.12000377,0.133271339,0.119531801,-0.334444892,-0.013850899,-0.138071189,-0.066452803,0.075934812,-0.137579156
Lathrotriccus_euleri,-0.444926615,-8.14E-05,0.36864187,0.024646145,0.355712566,-0.020873458,0.275881882,-0.11417257,-0.079378563,0.018567002,0.332248971,-0.004372195,-0.365067389,0.041498367,-0.172019192,0.079018297,0.181807447,0.062257047,-0.346087838,-4.71E-04,-0.183720772,-0.018607293,0.076907631,-0.067408903
Lepidocolaptes_souleyetii,-0.534464808,0.002234822,0.364098,0.041846002,0.337460169,-0.012841497,0.217272558,-0.101557987,0.014310216,0.007839715,0.280023723,0.008329416,-0.371932674,0.039868159,-0.073597954,0.06305494,0.180862084,0.060125621,-0.368337925,-0.010597269,-0.126377418,-0.028071984,0.080684029,-0.070229938
Leptopterus_chabert,-0.450385962,-0.002886807,0.431912901,0.059409235,0.324401343,-0.033350884,0.21572765,-0.157975657,-0.055004333,0.009305533,0.280211518,0.016845319,-0.345053249,0.060179726,-0.126316466,0.117131671,0.176026065,0.118742914,-0.338415888,-0.026305938,-0.163464897,-0.050397363,0.050361317,-0.110697748
Leptosomus_discolor,-0.390784545,-0.021995788,0.429858365,0.044658821,0.353653616,-0.014929027,0.192544541,-0.143627063,-0.121821102,0.028023967,0.37691627,0.025290358,-0.32441641,0.028310757,-0.168769397,0.085263922,0.238140556,0.080745585,-0.33341609,-0.017022828,-0.24062616,-0.02086243,-0.011279646,-0.073856275
Lichenostomus_virescens,-0.454996239,-0.003514549,0.430922222,0.035379859,0.379712252,-0.037597261,0.284990054,-0.124247314,-0.070722603,0.031084777,0.258195299,-0.016546849,-0.361600263,0.045470615,-0.16609451,0.08148021,0.105137821,0.074037676,-0.333397994,0.008387904,-0.15141234,-0.016083874,0.0792663,-0.077851193
Lipaugus_vociferans,-0.458889817,-0.007960179,0.365595197,0.056041895,0.337137491,-0.029523366,0.248455372,-0.147675117,-0.060757257,0.022429233,0.322574148,0.012236736,-0.34986051,0.053659879,-0.136344781,0.09223535,0.194562407,0.086523027,-0.344822784,-0.006322773,-0.176471518,-0.032151575,0.058822052,-0.099493112
